Ano,NomeUF,NomeMunicipio,Impostos,PIB,Populacao,PIBperCapita
2011,São Paulo,Buritama,14621.7,375446903,15539,24161.59
2011,São Paulo,Buritizal,6222885,121587259,4083,29778.9
2011,São Paulo,Cabrália Paulista,3393.96,99729019,4343,22963.16
2011,São Paulo,Cabreúva,377902.69899999996,1908403417,42257,
2011,São Paulo,Caçapava,502945519,3168298.1960000005,85414,37093.43
2011,São Paulo,Cachoeira Paulista,22067243,343814.56,30313,11342.15
2011,São Paulo,Caconde,5354198,185892522,18551,10020.62
2011,São Paulo,Cafelândia,14935912,282929625,16670,16972.38
2011,São Paulo,Caiabu,809.8789999999999,45661.009000000005,4072,11213.41
2011,São Paulo,Caieiras,268589826,2042344.4409999999,87704,23286.79
2011,São Paulo,Caiuá,2103104,58575.78400000001,5105,11474.2
2011,São Paulo,Cajamar,1444180.85,6201955204,65139,
2011,São Paulo,Cajati,105149924,912664303,28307,32241.65
2011,São Paulo,Cajobi,3995573,99636415,9814,10152.48
2011,São Paulo,Cajuru,31202759,320411333,23571,13593.46
2011,São Paulo,Campina do Monte Alegre,2006.77,100750698,5595,18007.27
2011,São Paulo,Campinas,8384696.767000001,44613747673,1090386,
2011,São Paulo,Campo Limpo Paulista,174342.15899999999,1376220549,74869,18381.71
2011,São Paulo,Campos do Jordão,43857459,760042416,48061,15814.12
2011,São Paulo,Campos Novos Paulista,1707275,88853123,4567,19455.47
2011,São Paulo,Cananéia,10035642,841203426,12221,68832.62
2011,São Paulo,Canas,2526625,68197608,4445,15342.54
2011,São Paulo,Cândido Mota,39314316,521531302,29931,17424.45
2011,São Paulo,Cândido Rodrigues,2070251,51569444,2673,19292.72
2011,São Paulo,Canitar,11345111,117280069,4438,26426.33
2011,São Paulo,Capão Bonito,25937.81,546200.0229999999,46136,11838.91
2011,São Paulo,Capela do Alto,12093579,169125294,17785,9509.43
2011,São Paulo,Capivari,183897.18300000002,1318009406,49122,26831.35
2011,São Paulo,Caraguatatuba,154745.68099999998,1830143275,102523,
2011,São Paulo,Carapicuíba,320521146,3420202222,371502,9206.42
2011,São Paulo,Cardoso,4109705,125942306,11821,10654.12
2011,São Paulo,Casa Branca,29358995,493623.57399999996,28423,17367.05
2011,São Paulo,Cássia dos Coqueiros,70317,65697304,2616,25113.65
2011,São Paulo,Castilho,28000674,395714042,18238,21697.23
2011,São Paulo,Catanduva,329029479,2873464265,113356,25349.03
2011,São Paulo,Catiguá,5459804,85578.17599999999,7171,11933.92
2011,São Paulo,Cedral,18184443,168750295,8070,
2011,São Paulo,Cerqueira César,27183822,348424.41299999994,17716,19667.22
2011,São Paulo,Cerquilho,178208728,1350183451,40393,33426.17
2011,São Paulo,Cesário Lange,23163349,228531734,15744,14515.48
2011,São Paulo,Charqueada,31622554,285372.98600000003,15243,18721.58
2011,São Paulo,Clementina,15877072,169835.22699999998,7193,23611.18
2011,São Paulo,Colina,87254112,571507959,17426,32796.28
2011,São Paulo,Colômbia,13811864,210221.86800000002,5998,35048.66
2011,São Paulo,Conchal,30881769,368773151,25425,14504.35
2011,São Paulo,Conchas,13698.198999999999,226905961,16395,13839.95
2011,São Paulo,Cordeirópolis,150307783,1391566894,21348,65184.88
2011,São Paulo,Coroados,3012277,100508281,5302,18956.67
2011,São Paulo,Coronel Macedo,-1407.0120000000002,47064495,4956,9496.47
2011,São Paulo,Corumbataí,7506.97,78975466,3881,20349.26
2011,São Paulo,Cosmópolis,94110.84800000001,939345.4720000001,59938,15671.95
2011,São Paulo,Cosmorama,22536275,224219.44100000002,7202,
2011,São Paulo,Cotia,1545979.36,7971331.56,205154,38855.36
2011,São Paulo,Cravinhos,97434.98300000001,712675135,31943,22310.84
2011,São Paulo,Cristais Paulista,1381.5539999999999,102808475,7666,13410.97
2011,São Paulo,Cruzália,-441.10400000000004,42779.08,2249,19021.38
2011,São Paulo,Cruzeiro,263462716,1646677771,77312,
2011,São Paulo,Cubatão,1732226.1830000002,7344608835,119520,61450.88
2011,São Paulo,Cunha,4623443,121311.53300000001,21773,5571.65
2011,São Paulo,Descalvado,111383493,893603402,31220,28622.79
2011,São Paulo,Diadema,2108216.1569999997,11663273912,388576,30015.43
2011,São Paulo,Dirce Reis,3585.57,31299.422000000002,1695,18465.74
2011,São Paulo,Divinolândia,4836968,124798.69900000001,11146,11196.73
2011,São Paulo,Dobrada,2742.6490000000003,64358875,8011,8033.81
2011,São Paulo,Dois Córregos,42273.61,513063.5,24933,20577.69
2011,São Paulo,Dolcinópolis,836654,25122728,2092,12008.95
2011,São Paulo,Dourado,24921681,199824.87,8610,23208.46
2011,São Paulo,Dracena,77158937,790782007,43470,18191.44
2011,São Paulo,Duartina,8481207,142569197,12234,11653.52
2011,São Paulo,Dumont,9266519,119631234,8284,14441.24
2011,São Paulo,Echaporã,2438967,92390.19900000001,6279,
2011,São Paulo,Eldorado,4666222,175215884,14680,11935.69
2011,São Paulo,Elias Fausto,64886.744000000006,429930.51200000005,15920,27005.69
2011,São Paulo,Elisiário,2210794,42685291,3162,13499.46
2011,São Paulo,Embaúba,681158,36101334,2419,14924.07
2011,São Paulo,Embu das Artes,803188.8420000001,5177290.23,242730,21329.42
2011,São Paulo,Embu-Guaçu,93841681,708946.8359999999,63219,11214.14
2011,São Paulo,Emilianópolis,1085497,38275.763999999996,3030,12632.27
2011,São Paulo,Engenheiro Coelho,36164268,338914217,16158,
2011,São Paulo,Espírito Santo do Pinhal,75305761,927012432,42017,22062.79
2011,São Paulo,Espírito Santo do Turvo,5493.888000000001,68350512,4288,15939.95
2011,São Paulo,Estrela d'Oeste,26486121,262080842,8205,31941.6
2011,São Paulo,Estrela do Norte,1062454,40777.76,2661,15324.22
2011,São Paulo,Euclides da Cunha Paulista,2390376,65431.765999999996,9537,6860.83
2011,São Paulo,Fartura,8010.73,186475.93399999998,15344,12153.02
2011,São Paulo,Fernandópolis,106382868,1197921555,64931,18449.15
2011,São Paulo,Fernando Prestes,8601392,105062.58,5542,18957.52
2011,São Paulo,Fernão,538888,24859798,1574,15794.03
2011,São Paulo,Ferraz de Vasconcelos,237956267,2353543.37,170297,13820.23
2011,São Paulo,Flora Rica,422023,21603995,1720,12560.46
2011,São Paulo,Floreal,1490.22,53162.712999999996,2987,17798.03
2011,São Paulo,Flórida Paulista,5845.1140000000005,144633402,12982,11141.07
2011,São Paulo,Florínia,881.0310000000001,76326524,2807,27191.49
2011,São Paulo,Franca,686883.9859999999,5893434.4,321012,18358.92
2011,São Paulo,Francisco Morato,67884341,1009860978,156064,6470.81
2011,São Paulo,Franco da Rocha,187621835,1790985486,133407,13424.97
2011,São Paulo,Gabriel Monteiro,2554406,51766.295999999995,2707,19123.12
2011,São Paulo,Gália,2010536,82281.13900000001,6947,11844.13
2011,São Paulo,Garça,64274902,750317.8840000001,43112,17403.92
2011,São Paulo,Gastão Vidigal,1333434,40700161,4240,9599.09
2011,São Paulo,Gavião Peixoto,6398.5509999999995,60665205,4442,13657.18
2011,São Paulo,General Salgado,16797875,219521616,10658,20596.89
2011,São Paulo,Getulina,4376.630999999999,142740231,10796,13221.58
2011,São Paulo,Glicério,3264312,64038.969000000005,4576,13994.53
2011,São Paulo,Guaiçara,6269.433000000001,116918995,10782,10843.91
2011,São Paulo,Guaimbê,2287.62,55383959,5442,10177.13
2011,São Paulo,Guaíra,92506591,1109599679,37619,29495.73
2011,São Paulo,Guapiaçu,16883481,272579071,18160,15009.86
2011,São Paulo,Guapiara,7023.454000000001,207369.97600000002,17866,11606.96
2011,São Paulo,Guará,25435131,319312.38399999996,19931,16020.89
2011,São Paulo,Guaraçaí,6370.088000000001,176871237,8400,21056.1
2011,São Paulo,Guaraci,22735341,209742796,10063,20842.97
2011,São Paulo,Guarani d'Oeste,454898,19080.74,1968,9695.5
2011,São Paulo,Guarantã,5589.701999999999,101677.26800000001,6411,15859.81
2011,São Paulo,Guararapes,45675552,639406788,30732,20805.9
2011,São Paulo,Guararema,194930451,1247690019,26147,47718.29
2011,São Paulo,Guaratinguetá,469651338,3095557626,112675,27473.33
2011,São Paulo,Guareí,8854.841999999999,173823.24300000002,14901,11665.21
2011,São Paulo,Guariba,55309.219000000005,642548.9029999999,35824,17936.27
