Ano,NomeUF,NomeMunicipio,NomeMeso,Impostos,PIB,Populacao,PIBperCapita
2010,São Paulo,Biritiba-Mirim,Metropolitana de São Paulo,10937765,319857627,28573,11194.4
2010,São Paulo,Boa Esperança do Sul,Araraquara,6537986,122151252,13658,8943.57
2010,São Paulo,Bocaina,Bauru,19619699,218422.88199999998,10862,20108.9
2010,São Paulo,Bofete,Bauru,5745632,112139463,9282,12081.39
2010,São Paulo,Boituva,Itapetininga,271121255,1570133404,48323,32492.47
2010,São Paulo,Bom Jesus dos Perdões,Macro Metropolitana Paulista,31794.527000000002,249973451,19703,12687.08
2010,São Paulo,Bom Sucesso de Itararé,Itapetininga,2673248,34087121,3571,9545.54
2010,São Paulo,Borá,Assis,5948919,60524.649000000005,805,75185.9
2010,São Paulo,Boracéia,Bauru,6372959,159009864,4268,37256.29
2010,São Paulo,Borborema,Araraquara,9448577,217809.37,14532,14988.26
2010,São Paulo,Borebi,Bauru,960295,38515477,2295,16782.34
2010,São Paulo,Botucatu,Bauru,339618065,3012753.2610000004,127370,23653.55
2010,São Paulo,Bragança Paulista,Macro Metropolitana Paulista,407367.50399999996,3245514692,146663,22129.06
2010,São Paulo,Braúna,Araçatuba,1732638,52739903,5021,10503.86
2010,São Paulo,Brejo Alegre,Araçatuba,13744072,132220893,2573,51387.83
2010,São Paulo,Brodowski,Ribeirão Preto,18982815,274485402,21105,13005.7
2010,São Paulo,Brotas,Piracicaba,37507706,406092.79,21580,18818.02
2010,São Paulo,Buri,Itapetininga,-361944,203949.59100000001,18566,10985.11
2010,São Paulo,Buritama,Araçatuba,12647.698999999999,360765513,15418,23398.98
2010,São Paulo,Buritizal,Ribeirão Preto,4275874,87685.12400000001,4055,21623.95
2010,São Paulo,Cabrália Paulista,Bauru,2690591,100391.20300000001,4365,22999.13
2010,São Paulo,Cabreúva,Macro Metropolitana Paulista,319899885,1412089251,41643,33909.4
2010,São Paulo,Caçapava,Vale do Paraíba Paulista,451500.56799999997,2765679952,84844,32597.24
2010,São Paulo,Cachoeira Paulista,Vale do Paraíba Paulista,18936947,307018.88,30099,10200.3
2010,São Paulo,Caconde,Campinas,3749.78,183486775,18536,9898.94
2010,São Paulo,Cafelândia,Bauru,12188.806999999999,261963621,16612,15769.54
2010,São Paulo,Caiabu,Presidente Prudente,873.7719999999999,53478447,4072,13133.21
2010,São Paulo,Caieiras,Metropolitana de São Paulo,238615.73899999997,1998876.3909999998,86623,23075.58
2010,São Paulo,Caiuá,Presidente Prudente,2574393,57393.619000000006,5039,11389.88
2010,São Paulo,Cajamar,Metropolitana de São Paulo,1231432172,5460802408,64113,85174.65
2010,São Paulo,Cajati,Litoral Sul Paulista,96139773,835391464,28371,29445.26
2010,São Paulo,Cajobi,São José do Rio Preto,3250105,92383.40800000001,9759,9466.48
2010,São Paulo,Cajuru,Ribeirão Preto,26723897,306018756,23378,13090.03
2010,São Paulo,Campina do Monte Alegre,Itapetininga,806547,81101622,5567,14568.28
2010,São Paulo,Campinas,Campinas,7309046918,38195022244,1080999,35333.08
2010,São Paulo,Campo Limpo Paulista,Macro Metropolitana Paulista,151083981,1189439.9640000002,74114,16048.79
2010,São Paulo,Campos do Jordão,Vale do Paraíba Paulista,42849.33900000001,681915965,47824,14258.87
2010,São Paulo,Campos Novos Paulista,Assis,1236211,78906393,4539,17384.09
2010,São Paulo,Cananéia,Litoral Sul Paulista,6757446,430181143,12226,35185.76
2010,São Paulo,Canas,Vale do Paraíba Paulista,1460.5839999999998,28773.601000000002,4387,6558.83
2010,São Paulo,Cândido Mota,Assis,32251784,466157698,29911,15584.82
2010,São Paulo,Cândido Rodrigues,Ribeirão Preto,1909139,51284.664000000004,2668,19222.14
2010,São Paulo,Canitar,Assis,11111.85,107004034,4369,24491.65
2010,São Paulo,Capão Bonito,Itapetininga,14289.158000000001,505845.7,46178,10954.26
2010,São Paulo,Capela do Alto,Macro Metropolitana Paulista,8610.29,146815.85199999998,17533,8373.69
2010,São Paulo,Capivari,Piracicaba,158514872,1107156.8020000001,48573,22793.67
2010,São Paulo,Caraguatatuba,Vale do Paraíba Paulista,152916846,1609177485,100899,15948.4
2010,São Paulo,Carapicuíba,Metropolitana de São Paulo,269403.67699999997,3000084756,369908,8110.35
2010,São Paulo,Cardoso,São José do Rio Preto,3643485,118512.59800000001,11798,10045.14
2010,São Paulo,Casa Branca,Campinas,23604856,430282.87700000004,28312,15197.9
2010,São Paulo,Cássia dos Coqueiros,Ribeirão Preto,-172743,59546.005999999994,2627,22666.92
2010,São Paulo,Castilho,Araçatuba,24607859,327576875,18006,18192.65
2010,São Paulo,Catanduva,São José do Rio Preto,279289411,2444101.9869999997,112843,21659.31
2010,São Paulo,Catiguá,São José do Rio Preto,4677267,86156.19,7127,12088.7
2010,São Paulo,Cedral,São José do Rio Preto,15933406,137459.50400000002,7968,17251.44
2010,São Paulo,Cerqueira César,Bauru,23261889,319998267,17532,18252.24
2010,São Paulo,Cerquilho,Itapetininga,159407786,1166025.3059999999,39649,29408.69
2010,São Paulo,Cesário Lange,Itapetininga,19508333,209827.25600000002,15547,13496.32
2010,São Paulo,Charqueada,Piracicaba,31915.593999999997,275341142,15086,18251.43
2010,São Paulo,Clementina,Araçatuba,18221362,177493.46,7064,25126.48
2010,São Paulo,Colina,Ribeirão Preto,78126981,516279578,17373,29717.35
2010,São Paulo,Colômbia,Ribeirão Preto,13887.131000000001,224170599,5994,37399.17
2010,São Paulo,Conchal,Piracicaba,29277991,341423.60299999994,25242,13526.01
2010,São Paulo,Conchas,Bauru,11325899,212218.91,16302,13017.97
2010,São Paulo,Cordeirópolis,Piracicaba,137263066,1227207902,21085,58202.89
2010,São Paulo,Coroados,Araçatuba,2048.63,92245814,5238,17610.88
2010,São Paulo,Coronel Macedo,Itapetininga,-1647995,38423.827000000005,5001,7683.23
2010,São Paulo,Corumbataí,Piracicaba,6737964,76039797,3874,19628.24
2010,São Paulo,Cosmópolis,Campinas,89425961,859253372,58821,14607.94
2010,São Paulo,Cosmorama,São José do Rio Preto,18634641,194768668,7214,26998.71
2010,São Paulo,Cotia,Metropolitana de São Paulo,1338188.8020000001,6796203.027000001,201023,33808.09
2010,São Paulo,Cravinhos,Ribeirão Preto,85159.54699999999,627725497,31688,19809.57
2010,São Paulo,Cristais Paulista,Ribeirão Preto,-3914242,121993531,7591,16070.81
2010,São Paulo,Cruzália,Assis,-1427.2379999999998,33624.486000000004,2270,14812.55
2010,São Paulo,Cruzeiro,Vale do Paraíba Paulista,226762578,1450013251,77070,18814.24
2010,São Paulo,Cubatão,Metropolitana de São Paulo,1624732.8930000002,9466000.497000001,118797,79682.15
2010,São Paulo,Cunha,Vale do Paraíba Paulista,3162917,112225347,21874,5130.54
2010,São Paulo,Descalvado,Araraquara,91238.67800000001,737342.11,31053,23744.63
2010,São Paulo,Diadema,Metropolitana de São Paulo,1918806689,10699784.002999999,386039,27716.85
2010,São Paulo,Dirce Reis,São José do Rio Preto,3266868,28893461,1689,17106.84
2010,São Paulo,Divinolândia,Campinas,3655.5570000000002,110885127,11209,9892.51
2010,São Paulo,Dobrada,Araraquara,2009231,58569.742999999995,7941,7375.61
2010,São Paulo,Dois Córregos,Bauru,37435885,402239.87799999997,24768,16240.31
2010,São Paulo,Dolcinópolis,São José do Rio Preto,740.2719999999999,22752.857999999997,2096,10855.37
2010,São Paulo,Dourado,Araraquara,17911.316000000003,126039214,8607,14643.8
2010,São Paulo,Dracena,Presidente Prudente,66343157,699888953,43263,16177.54
2010,São Paulo,Duartina,Bauru,7282.07,123496969,12251,10080.56
2010,São Paulo,Dumont,Ribeirão Preto,7860639,101212648,8143,12429.41
2010,São Paulo,Echaporã,Marília,2014.0629999999999,78394946,6318,12408.19
2010,São Paulo,Eldorado,Litoral Sul Paulista,4308346,192594.34699999998,14645,13150.86
2010,São Paulo,Elias Fausto,Campinas,65496.17,427351356,15796,27054.4
2010,São Paulo,Elisiário,São José do Rio Preto,1557015,40937843,3120,13121.1
2010,São Paulo,Embaúba,São José do Rio Preto,548616,33342997,2423,13761.04
2010,São Paulo,Embu das Artes,Metropolitana de São Paulo,673524.07,4373421465,240007,18222.06
2010,São Paulo,Embu-Guaçu,Metropolitana de São Paulo,84223.79699999999,630976.6329999999,62846,10040.04
2010,São Paulo,Emilianópolis,Presidente Prudente,972.4,36963475,3024,12223.37
2010,São Paulo,Engenheiro Coelho,Campinas,30902.183999999997,283626973,15719,18043.58
2010,São Paulo,Espírito Santo do Pinhal,Campinas,70963103,824248.1359999999,41919,19662.88
2010,São Paulo,Espírito Santo do Turvo,Assis,6682425,76278092,4246,17964.69
2010,São Paulo,Estrela d'Oeste,São José do Rio Preto,28227.21,264737274,8208,32253.57
2010,São Paulo,Estrela do Norte,Presidente Prudente,777066,36679605,2661,13784.14
2010,São Paulo,Euclides da Cunha Paulista,Presidente Prudente,1765329,55943958,9585,5836.62
2010,São Paulo,Fartura,Assis,5123879,162522009,15324,10605.72
2010,São Paulo,Fernandópolis,São José do Rio Preto,88681.31599999999,1069480749,64707,16528.05
2010,São Paulo,Fernando Prestes,Ribeirão Preto,7445107,86619.15800000001,5534,15652.18
2010,São Paulo,Fernão,Marília,216199,23330.13,1563,14926.51
2010,São Paulo,Ferraz de Vasconcelos,Metropolitana de São Paulo,225803635,2133262675,168290,12676.11
2010,São Paulo,Flora Rica,Presidente Prudente,323157,21530903,1752,12289.33
2010,São Paulo,Floreal,São José do Rio Preto,1179392,40867.812999999995,3003,13609.0
2010,São Paulo,Flórida Paulista,Presidente Prudente,5328964,143193518,12849,11144.33
2010,São Paulo,Florínia,Assis,689.1080000000001,60936767,2829,21540.04
2010,São Paulo,Franca,Ribeirão Preto,595353287,5056918275,318785,15863.1
2010,São Paulo,Francisco Morato,Metropolitana de São Paulo,60414508,883621191,154538,5717.82
2010,São Paulo,Franco da Rocha,Metropolitana de São Paulo,177628855,1613872765,131603,12263.19
2010,São Paulo,Gabriel Monteiro,Araçatuba,1432265,38180927,2705,14114.95
2010,São Paulo,Gália,Marília,-191.75799999999998,80638728,7011,11501.74
2010,São Paulo,Garça,Marília,49007.08900000001,710995449,43124,16487.23
2010,São Paulo,Gastão Vidigal,São José do Rio Preto,1183724,38208773,4193,9112.51
2010,São Paulo,Gavião Peixoto,Araraquara,6071658,63811666,4420,14437.03
2010,São Paulo,General Salgado,São José do Rio Preto,14145418,174774282,10674,16373.83
2010,São Paulo,Getulina,Bauru,3800937,146806834,10777,13622.24
2010,São Paulo,Glicério,Araçatuba,2778393,61909482,4577,13526.21
2010,São Paulo,Guaiçara,Bauru,7332689,127362094,10671,11935.35
2010,São Paulo,Guaimbê,Bauru,2195369,54641905,5425,10072.24
2010,São Paulo,Guaíra,Ribeirão Preto,91263118,1034455.2370000001,37412,27650.36
2010,São Paulo,Guapiaçu,São José do Rio Preto,15809618,237521.68300000002,17885,13280.5
2010,São Paulo,Guapiara,Itapetininga,7438.8859999999995,189593932,17988,10540.02
2010,São Paulo,Guará,Ribeirão Preto,23443715,284371393,19864,14315.92
2010,São Paulo,Guaraçaí,Araçatuba,5112.7429999999995,123956955,8435,14695.55
2010,São Paulo,Guaraci,São José do Rio Preto,19542658,190313237,9976,19077.11
2010,São Paulo,Guarani d'Oeste,São José do Rio Preto,402.92,17899411,1969,9090.61
2010,São Paulo,Guarantã,Bauru,5045.47,103418505,6400,16159.14
2010,São Paulo,Guararapes,Araçatuba,38119016,588123712,30600,19219.73
2010,São Paulo,Guararema,Metropolitana de São Paulo,166492059,1111404914,25861,42976.1
2010,São Paulo,Guaratinguetá,Vale do Paraíba Paulista,444933268,2927684.3460000004,112091,26118.82
2010,São Paulo,Guareí,Itapetininga,7371315,145818.91199999998,14568,10009.54
2010,São Paulo,Guariba,Ribeirão Preto,59085.884000000005,618831315,35491,17436.29
2010,São Paulo,Guarujá,Metropolitana de São Paulo,536255392,4443142.098999999,290607,15289.18
2010,São Paulo,Guarulhos,Metropolitana de São Paulo,6047343.692000001,35671510.219000004,1222357,29182.56
2010,São Paulo,Guatapará,Ribeirão Preto,5351.298000000001,137771.40300000002,6966,19777.69
2010,São Paulo,Guzolândia,São José do Rio Preto,1371.2179999999998,44346973,4754,9328.35
2010,São Paulo,Herculândia,Marília,8525707,117474207,8696,13508.99
2010,São Paulo,Holambra,Campinas,36188176,381992941,11292,33828.63
2010,São Paulo,Hortolândia,Campinas,1604481629,8763445705,192225,45589.52
2010,São Paulo,Iacanga,Bauru,22701086,199522299,10010,19932.3
2010,São Paulo,Iacri,Marília,2301263,91188763,6419,14206.07
2010,São Paulo,Iaras,Bauru,3396135,77593195,6377,12167.66
2010,São Paulo,Ibaté,Araraquara,38117.01,434933925,30724,14156.16
2010,São Paulo,Ibirá,São José do Rio Preto,5496.994000000001,116402715,10868,10710.59
2010,São Paulo,Ibirarema,Assis,9187006,133410845,6725,19838.04
2010,São Paulo,Ibitinga,Araraquara,85373004,861803949,53166,16209.68
2010,São Paulo,Ibiúna,Macro Metropolitana Paulista,64563.905999999995,785959016,71228,11034.41
2010,São Paulo,Icém,São José do Rio Preto,2686522,116630.88900000001,7462,15629.98
2010,São Paulo,Iepê,Assis,3825954,103387.57400000001,7627,13555.47
2010,São Paulo,Igaraçu do Tietê,Bauru,12070258,182727.63600000003,23370,7818.9
