Ano,NomeUF,NomeMunicipio,NomeMeso,Impostos,PIB,Populacao
2012,São Paulo,Borborema,Araraquara,12323464,259663.0,14731
2012,São Paulo,Borebi,Bauru,1296688,46868.6,2348
2012,São Paulo,Botucatu,Bauru,395520276,3498939.5930000003,130201
2012,São Paulo,Bragança Paulista,Macro Metropolitana Paulista,535573845,4140413.61,150023
2012,São Paulo,Braúna,Araçatuba,2390975,61860247,5118
2012,São Paulo,Brejo Alegre,Araçatuba,14060.45,129938.84199999999,2614
2012,São Paulo,Brodowski,Ribeirão Preto,27181595,365486585,21707
2012,São Paulo,Brotas,Piracicaba,46793308,494490776,21987
2012,São Paulo,Buri,Itapetininga,7028736,216187032,18705
2012,São Paulo,Buritama,Araçatuba,13715919,437168703,15655
2012,São Paulo,Buritizal,Ribeirão Preto,7376294,133782.56900000002,4111
2012,São Paulo,Cabrália Paulista,Bauru,4423755,97190886,4322
2012,São Paulo,Cabreúva,Macro Metropolitana Paulista,498829698,2426146123,42889
2012,São Paulo,Caçapava,Vale do Paraíba Paulista,529521799,3309843439,86054
2012,São Paulo,Cachoeira Paulista,Vale do Paraíba Paulista,23355.482999999997,394194559,30527
2012,São Paulo,Caconde,Campinas,1811287,271269627,18563
2012,São Paulo,Cafelândia,Bauru,17561092,290216.19399999996,16730
2012,São Paulo,Caiabu,Presidente Prudente,945832,44691023,4072
2012,São Paulo,Caieiras,Metropolitana de São Paulo,307060196,2427255454,88841
2012,São Paulo,Caiuá,Presidente Prudente,2249.5570000000002,66043866,5167
2012,São Paulo,Cajamar,Metropolitana de São Paulo,1733255.85,7056254083,66131
2012,São Paulo,Cajati,Litoral Sul Paulista,111555.72099999999,967638843,28243
2012,São Paulo,Cajobi,São José do Rio Preto,3943098,95441278,9858
2012,São Paulo,Cajuru,Ribeirão Preto,35664651,393033085,23763
2012,São Paulo,Campina do Monte Alegre,Itapetininga,2010609,85658869,5622
2012,São Paulo,Campinas,Campinas,9019058053,48438677483,1098630
2012,São Paulo,Campo Limpo Paulista,Macro Metropolitana Paulista,174361.19100000002,1416799.96,75637
2012,São Paulo,Campos do Jordão,Vale do Paraíba Paulista,49946.007000000005,807970579,48324
2012,São Paulo,Campos Novos Paulista,Assis,2520173,93455089,4594
2012,São Paulo,Cananéia,Litoral Sul Paulista,7784.706999999999,443179.66,12216
2012,São Paulo,Canas,Vale do Paraíba Paulista,3832.3509999999997,84172.43400000001,4502
2012,São Paulo,Cândido Mota,Assis,45985309,602029.05,29976
2012,São Paulo,Cândido Rodrigues,Ribeirão Preto,2319.3,56918.93,2677
2012,São Paulo,Canitar,Assis,9452577,97785493,4504
2012,São Paulo,Capão Bonito,Itapetininga,26487502,532182.7220000001,46095
2012,São Paulo,Capela do Alto,Macro Metropolitana Paulista,12377823,174376.1,18029
2012,São Paulo,Capivari,Piracicaba,211079621,1444353585,49650
2012,São Paulo,Caraguatatuba,Vale do Paraíba Paulista,154456749,2199999049,104150
