Mean Time
31.448
29.9345
56.5043
55.8848
55.9599
54.14
54.03
53.13
34.34
53.52
58.19
53.15
52.79
52.75
52.17
51.27
54.76
52.88
53.08
52.62
53.72
53.93
54.17
52.86
52.73
52.25
52.23
52.69
53.65
52.9
4.72
53.61
53.51
42.25
42.01
94.42
91.25
92.18
91.12
93.15
94.88
95.68
90.41
93.64
95.08
90.12
91.22
91.1
96.02
95.59
93.42
91.85
93.35
94.77
88.09
94.07
94.35
87.11
95.75
93.82
103.14
95.01
93.1
93.29
91.82
98.1
77.75
96.92
90.08
97.63
88.63
88.17
5.85
99.73
33.03
33.03
33.55
32.56
33.06
33.05
33.05
33.19
33.19
17.81
32.92
33.22
20.26
32.97
33.12
33.12
33.12
36.55
33.09
33.73
39.56
35.36
38.07
35.82
35.88
37.95
87.08
99.1
36.07
36.4
36.52
34.55
34.53
34.02
33.02
34.9
23.98
34.92
33.97
43.18
33.07
38.89
43.63
34.31
35.82
33.5
47
28.41
33.38
33.42
34.63
33.08
37.48
45.83
47.77
38.11
33.81
44.82
43.26
46.2
63.21
119.34
116.11
72.94
90.09
79.07
73.12
71.99
18.48
15.37
76.28
64.81
45.7
26.01
76.41
76.73
74.68
77.69
76.18
66.39
42.43
41.22
56.34
27.01
80.2
74.09
77.25
81.16
5
4.01
5
4.02
4.01
2.63
2.95
4.23
4.32
4.07
3.82
4.11
1.26
1.91
5.03
3.21
5.06
4.4
4.2
4.31
4.16
5.84
4.07
6.13
5
5
5.01
5.02
5
5.62
5
4.43
38.8
13.05
13.1
13
7.85
7.83
7.03
6.14
7.01
7.01
4
4.05
4.03
6.34
4
5.16
5.47
9.28
1.89
8.82
9.26
3.67
7.85
11.89
8.88
2.01
5.23
8.03
8.1
12.92
9.74
8.16
6.31
12.25
12.21
12.93
12.66
11.93
12.07
12.1
12.06
3.38
11.77
13.45
11.98
27.05
12.79
16.13
12.64
12.03
13.11
12.91
12.49
11.76
11.78
11.04
11.96
12.67
13.53
12.41
